"id","refshort","site_id","plot_id","scientific_name","abundance","tsn"
1,"Aguiar_2012","Fragment 1",1,"Euglossa cordata",61,"763390"
2,"Aguiar_2012","Fragment 1",1,"Euglossa securigera",1,"763464"
3,"Aguiar_2012","Fragment 1",1,"Eulaema atleticana",1,NA
4,"Aguiar_2012","Fragment 1",1,"Eulaema cingulata",19,"763490"
5,"Aguiar_2012","Fragment 1",1,"Eulaema nigrita",67,"763499"
6,"Aguiar_2012","Fragment 1",1,"Exaerete smaragdina",10,"763514"
7,"Aguiar_2012","Fragment 2",1,"Euglossa cordata",39,"763390"
8,"Aguiar_2012","Fragment 2",1,"Euglossa securigera",2,"763464"
9,"Aguiar_2012","Fragment 2",1,"Eulaema cingulata",7,"763490"
10,"Aguiar_2012","Fragment 2",1,"Eulaema nigrita",76,"763499"
11,"Aguiar_2012","Fragment 2",1,"Exaerete smaragdina",5,"763514"
12,"Aguiar_2012","Fragment 3",1,"Euglossa cordata",72,"763390"
13,"Aguiar_2012","Fragment 3",1,"Euglossa despecta",1,"763400"
14,"Aguiar_2012","Fragment 3",1,"Euglossa fimbriata",9,"763405"
15,"Aguiar_2012","Fragment 3",1,"Euglossa securigera",55,"763464"
16,"Aguiar_2012","Fragment 3",1,"Eulaema cingulata",26,"763490"
17,"Aguiar_2012","Fragment 3",1,"Eulaema nigrita",49,"763499"
18,"Aguiar_2012","Fragment 4",1,"Euglossa cordata",72,"763390"
19,"Aguiar_2012","Fragment 4",1,"Euglossa despecta",3,"763400"
20,"Aguiar_2012","Fragment 4",1,"Euglossa fimbriata",36,"763405"
21,"Aguiar_2012","Fragment 4",1,"Euglossa securigera",37,"763464"
22,"Aguiar_2012","Fragment 4",1,"Eulaema cingulata",55,"763490"
23,"Aguiar_2012","Fragment 4",1,"Eulaema nigrita",60,"763499"
24,"Aguiar_2012","Fragment 4",1,"Exaerete smaragdina",1,"763514"
25,"Aguiar_2012","Fragment 5",1,"Euglossa cordata",83,"763390"
26,"Aguiar_2012","Fragment 5",1,"Euglossa despecta",3,"763400"
27,"Aguiar_2012","Fragment 5",1,"Euglossa fimbriata",44,"763405"
28,"Aguiar_2012","Fragment 5",1,"Euglossa securigera",76,"763464"
29,"Aguiar_2012","Fragment 5",1,"Eulaema cingulata",26,"763490"
30,"Aguiar_2012","Fragment 5",1,"Eulaema nigrita",82,"763499"
