"id","refshort","reference","country","climate","continent","sphere_fragment","sphere_matrix","biome","taxa","time_since_fragmentation","matrix_category","site_id","plot_id","site_size","latitudeN","longitudeE","sampling_design","sampling_method","method_category","sampling_device_size","device_size_unit","intensity","intensity_unit","block_type","number_of_blocks_per_site","sampling_density","density_unit","sampling_duration","duration_unit","sampling_effort","sampling_effort_unit","sampling_note"
1,"Aguiar_2012","Aguiar, W.M.D. and Gaglianone, M.C., 2012. Euglossine bee communities in small forest fragments of the Atlantic Forest, Rio de Janeiro state, southeastern Brazil (Hymenoptera, Apidae). Revista Brasileira de Entomologia, 56(2), pp.210-219.","Brazil","Tropical","South America","terrestrial","terrestrial","forest","Insecta","Intermediate (20-100 years)","intermediate","Fragment 1","1","16",-21.44712,-41.1097,"standardized_fragment","trap","scented traps",NA,NA,"5","traps per trap-array","trap-array","1","2","m apart","60","total hours",1,"balanced","60 total hours of sampling with scented traps.  5 chemical compounds.  May 2005-May 2007."
2,"Aguiar_2012","Aguiar, W.M.D. and Gaglianone, M.C., 2012. Euglossine bee communities in small forest fragments of the Atlantic Forest, Rio de Janeiro state, southeastern Brazil (Hymenoptera, Apidae). Revista Brasileira de Entomologia, 56(2), pp.210-219.","Brazil","Tropical","South America","terrestrial","terrestrial","forest","Insecta","Intermediate (20-100 years)","intermediate","Fragment 2","1","5.5",-21.44712,-41.1097,"standardized_fragment","trap","scented traps",NA,NA,"5","traps per trap-array","trap-array","1","2","m apart","60","total hours",1,"balanced","60 total hours of sampling with scented traps.  5 chemical compounds.  May 2005-May 2007."
3,"Aguiar_2012","Aguiar, W.M.D. and Gaglianone, M.C., 2012. Euglossine bee communities in small forest fragments of the Atlantic Forest, Rio de Janeiro state, southeastern Brazil (Hymenoptera, Apidae). Revista Brasileira de Entomologia, 56(2), pp.210-219.","Brazil","Tropical","South America","terrestrial","terrestrial","forest","Insecta","Intermediate (20-100 years)","intermediate","Fragment 3","1","4",-21.44712,-41.1097,"standardized_fragment","trap","scented traps",NA,NA,"5","traps per trap-array","trap-array","1","2","m apart","60","total hours",1,"balanced","60 total hours of sampling with scented traps.  5 chemical compounds.  May 2005-May 2007."
4,"Aguiar_2012","Aguiar, W.M.D. and Gaglianone, M.C., 2012. Euglossine bee communities in small forest fragments of the Atlantic Forest, Rio de Janeiro state, southeastern Brazil (Hymenoptera, Apidae). Revista Brasileira de Entomologia, 56(2), pp.210-219.","Brazil","Tropical","South America","terrestrial","terrestrial","forest","Insecta","Intermediate (20-100 years)","intermediate","Fragment 4","1","7.6",-21.44712,-41.1097,"standardized_fragment","trap","scented traps",NA,NA,"5","traps per trap-array","trap-array","1","2","m apart","60","total hours",1,"balanced","60 total hours of sampling with scented traps.  5 chemical compounds.  May 2005-May 2007."
5,"Aguiar_2012","Aguiar, W.M.D. and Gaglianone, M.C., 2012. Euglossine bee communities in small forest fragments of the Atlantic Forest, Rio de Janeiro state, southeastern Brazil (Hymenoptera, Apidae). Revista Brasileira de Entomologia, 56(2), pp.210-219.","Brazil","Tropical","South America","terrestrial","terrestrial","forest","Insecta","Intermediate (20-100 years)","intermediate","Fragment 5","1","2",-21.44712,-41.1097,"standardized_fragment","trap","scented traps",NA,NA,"5","traps per trap-array","trap-array","1","2","m apart","60","total hours",1,"balanced","60 total hours of sampling with scented traps.  5 chemical compounds.  May 2005-May 2007."
6,"Aguiar_2012","Aguiar, W.M.D. and Gaglianone, M.C., 2012. Euglossine bee communities in small forest fragments of the Atlantic Forest, Rio de Janeiro state, southeastern Brazil (Hymenoptera, Apidae). Revista Brasileira de Entomologia, 56(2), pp.210-219.","Brazil","Tropical","South America","terrestrial","terrestrial","forest","Insecta","Intermediate (20-100 years)","intermediate","Fragment 6","1","6.6",-21.44712,-41.1097,"standardized_fragment","trap","scented traps",NA,NA,"5","traps per trap-array","trap-array","1","2","m apart","60","total hours",1,"balanced","60 total hours of sampling with scented traps.  5 chemical compounds.  May 2005-May 2007."
7,"Aguiar_2012","Aguiar, W.M.D. and Gaglianone, M.C., 2012. Euglossine bee communities in small forest fragments of the Atlantic Forest, Rio de Janeiro state, southeastern Brazil (Hymenoptera, Apidae). Revista Brasileira de Entomologia, 56(2), pp.210-219.","Brazil","Tropical","South America","terrestrial","terrestrial","forest","Insecta","Intermediate (20-100 years)","intermediate","Fragment 7","1","14",-21.44712,-41.1097,"standardized_fragment","trap","scented traps",NA,NA,"5","traps per trap-array","trap-array","1","2","m apart","60","total hours",1,"balanced","60 total hours of sampling with scented traps.  5 chemical compounds.  May 2005-May 2007."
8,"Aguiar_2012","Aguiar, W.M.D. and Gaglianone, M.C., 2012. Euglossine bee communities in small forest fragments of the Atlantic Forest, Rio de Janeiro state, southeastern Brazil (Hymenoptera, Apidae). Revista Brasileira de Entomologia, 56(2), pp.210-219.","Brazil","Tropical","South America","terrestrial","terrestrial","forest","Insecta","Intermediate (20-100 years)","intermediate","Fragment 8","1","12",-21.44712,-41.1097,"standardized_fragment","trap","scented traps",NA,NA,"5","traps per trap-array","trap-array","1","2","m apart","60","total hours",1,"balanced","60 total hours of sampling with scented traps.  5 chemical compounds.  May 2005-May 2007."
9,"Aguiar_2012","Aguiar, W.M.D. and Gaglianone, M.C., 2012. Euglossine bee communities in small forest fragments of the Atlantic Forest, Rio de Janeiro state, southeastern Brazil (Hymenoptera, Apidae). Revista Brasileira de Entomologia, 56(2), pp.210-219.","Brazil","Tropical","South America","terrestrial","terrestrial","forest","Insecta","Intermediate (20-100 years)","intermediate","Fragment 9","1","18",-21.44712,-41.1097,"standardized_fragment","trap","scented traps",NA,NA,"5","traps per trap-array","trap-array","1","2","m apart","60","total hours",1,"balanced","60 total hours of sampling with scented traps.  5 chemical compounds.  May 2005-May 2007."
10,"Aizen_1994","Aizen, M.A. & Feinsinger, P., 1994. Habitat Fragmentation, Native Insect Pollinators, and Feral Honey Bees in Argentine ""Chaco Serrano"". Ecological Applications, 4(2), pp.378-392.","Argentinia","Temperate","South America","terrestrial","terrestrial","forest","Insecta","Intermediate (20-100 years)","intermediate","Continuous forest 1","1","continuous",-26.833333,-65.333333,"standardized_fragment","trap","pan traps",21,"cm diameter","5","traps per transect","transect","4","5","m apart","3","trapping sessions of 8 hours each per trap per site",1,"balanced","4 transects of 5 pan traps placed 5 m apart."
